Id;FirstName;LastName;Email;Phone;Location;Address;BirthDate;ContractDate;RegistrationDate;Status;TerminalId;Password
1;Róbert;Hegedüs;rhegedus1@gmail.com;+36778681927;Törökszentmiklós;Szőlő utca 40;1968. 06. 04. 0:00:00;2024. 01. 07. 0:00:00;2024. 01. 07. 0:00:00;inaktív;7594;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
2;István;Gáspár;igaspar2@gmail.com;+36625162235;Kiskunhalas;Vörösmarty utca 22;1991. 06. 11. 0:00:00;2022. 02. 19. 0:00:00;2022. 02. 19. 0:00:00;inaktív;15115;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
3;Nina;Lakatos;nlakatos3@gmail.com;+36204091642;Kiskunfélegyháza;Kossuth utca 50;1980. 11. 12. 0:00:00;2023. 12. 14. 0:00:00;2023. 12. 14. 0:00:00;aktív;2331;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
4;Roland;Vass;rvass4@gmail.com;+36922559478;Kiskunfélegyháza;Bartók Béla utca 78;1978. 06. 28. 0:00:00;2023. 10. 11. 0:00:00;2023. 10. 11. 0:00:00;inaktív;15539;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
5;Mátyás;Varga;mvarga5@gmail.com;+36804393082;Cegléd;Vasút utca 10;1987. 08. 01. 0:00:00;2021. 03. 24. 0:00:00;2021. 03. 24. 0:00:00;aktív;3796;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
6;Dominik;Kelemen;dkelemen6@gmail.com;+36979003348;Szigetszentmiklós;Iskola utca 62;1983. 06. 29. 0:00:00;2022. 09. 18. 0:00:00;2022. 09. 18. 0:00:00;aktív;10037;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
7;Ákos;Lakatos;alakatos7@gmail.com;+36449676229;Békéscsaba;Nyár utca 48;1964. 08. 09. 0:00:00;2023. 08. 24. 0:00:00;2023. 08. 24. 0:00:00;aktív;17297;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
8;Zselyke;Vörös;zvoros8@gmail.com;+36385425591;Orosháza;Árpád utca 64;1973. 02. 06. 0:00:00;2024. 05. 03. 0:00:00;2024. 05. 03. 0:00:00;inaktív;14344;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
9;Balázs;Gulyás;bgulyas9@gmail.com;+36524984598;Celldömölk;Nyár utca 53;2002. 01. 30. 0:00:00;2024. 06. 29. 0:00:00;2024. 06. 29. 0:00:00;aktív;11853;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
10;Lilla;Oláh;lolah10@gmail.com;+36893630368;Székesfehérvár;Temető utca 14;1960. 07. 16. 0:00:00;2024. 01. 01. 0:00:00;2024. 01. 01. 0:00:00;aktív;2379;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
11;Krisztina;Barna;kbarna11@gmail.com;+36217750882;Szigetszentmiklós;Arany János utca 9;1971. 12. 02. 0:00:00;2025. 02. 09. 0:00:00;2025. 02. 09. 0:00:00;aktív;8052;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
12;István;Hegedűs;ihegedus12@gmail.com;+36798576835;Budakeszi;Táncsics Mihály utca 99;1964. 02. 28. 0:00:00;2024. 11. 30. 0:00:00;2024. 11. 30. 0:00:00;inaktív;17249;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
13;Bernadett;Bálint;bbalint13@gmail.com;+36629693712;Nyírbátor;Temető utca 43;1995. 09. 06. 0:00:00;2023. 04. 22. 0:00:00;2023. 04. 22. 0:00:00;inaktív;19397;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
14;Melinda;Hegedűs;mhegedus14@gmail.com;+36844308545;Csömör;Kert utca 78;1967. 03. 06. 0:00:00;2020. 02. 26. 0:00:00;2020. 02. 26. 0:00:00;inaktív;19697;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
15;Nina;László;nlaszlo15@gmail.com;+36724031214;Sopron;Tavaszmező utca 20;1984. 08. 03. 0:00:00;2024. 09. 08. 0:00:00;2024. 09. 08. 0:00:00;aktív;16545;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
16;Zsolt;Hajdu;zhajdu16@gmail.com;+36911377407;Komló;Temető utca 64;2003. 10. 01. 0:00:00;2019. 07. 10. 0:00:00;2019. 07. 10. 0:00:00;aktív;18050;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
17;Csaba;Pásztor;cpasztor17@gmail.com;+36762956612;Esztergom;Deák Ferenc utca 19;1975. 05. 31. 0:00:00;2025. 03. 23. 0:00:00;2025. 03. 23. 0:00:00;inaktív;14444;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
18;Melinda;Szekeres;mszekeres18@gmail.com;+36358008399;Tatabánya;Ady Endre utca 57;1978. 07. 29. 0:00:00;2021. 10. 14. 0:00:00;2021. 10. 14. 0:00:00;inaktív;11701;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
19;Zsolt;Németh;znemeth19@gmail.com;+36563279690;Szigetszentmiklós;Rózsa utca 53;1975. 07. 18. 0:00:00;2015. 11. 06. 0:00:00;2015. 11. 06. 0:00:00;aktív;17081;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
20;Nina;Balla;nballa20@gmail.com;+36404771258;Csömör;Petőfi utca 67;1983. 07. 02. 0:00:00;2022. 06. 09. 0:00:00;2022. 06. 09. 0:00:00;aktív;6584;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
21;Benedek;Bakos;bbakos21@gmail.com;+36682603425;Mezőkövesd;Sport utca 81;1991. 10. 08. 0:00:00;2022. 02. 22. 0:00:00;2022. 02. 22. 0:00:00;aktív;8317;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
