Id;CreatorId;CustomerId;Description;Address;TerminalId;Location;Status;Priority;CreateTime;ResolutionDate;IssueType;TechnicianId;ServiceDate
1;4;1;El kell végezni a telepítést;Szőlő utca 40;7594;Törökszentmiklós;elvégezve;magas;2024. 01. 07. 0:00:00;2024. 01. 21. 0:00:00;telepítés;19;2024. 01. 21. 0:00:00
2;3;1;El kell végezni a szervizelést;Szőlő utca 40;7594;Törökszentmiklós;elvégezve;közepes;2024. 02. 04. 0:00:00;2024. 02. 18. 0:00:00;szerviz;12;2024. 02. 18. 0:00:00
3;9;1;El kell végezni a leszerelést;Szőlő utca 40;7594;Törökszentmiklós;elvégezve;magas;2024. 03. 03. 0:00:00;2024. 03. 17. 0:00:00;leszerelés;12;2024. 03. 17. 0:00:00
4;3;2;El kell végezni a telepítést;Vörösmarty utca 22;15115;Kiskunhalas;elvégezve;alacsony;2022. 02. 19. 0:00:00;2022. 03. 05. 0:00:00;telepítés;15;2022. 03. 05. 0:00:00
5;4;2;El kell végezni a leszerelést;Vörösmarty utca 22;15115;Kiskunhalas;elvégezve;magas;2022. 03. 19. 0:00:00;2022. 04. 02. 0:00:00;leszerelés;20;2022. 04. 02. 0:00:00
6;10;3;El kell végezni a telepítést;Kossuth utca 50;2331;Kiskunfélegyháza;elvégezve;közepes;2023. 12. 14. 0:00:00;2023. 12. 28. 0:00:00;telepítés;14;2023. 12. 28. 0:00:00
7;2;3;El kell végezni a szervizelést;Kossuth utca 50;2331;Kiskunfélegyháza;elvégezve;alacsony;2024. 01. 11. 0:00:00;2024. 01. 25. 0:00:00;szerviz;13;2024. 01. 25. 0:00:00
8;5;4;El kell végezni a telepítést;Bartók Béla utca 78;15539;Kiskunfélegyháza;elvégezve;közepes;2023. 10. 11. 0:00:00;2023. 10. 25. 0:00:00;telepítés;19;2023. 10. 25. 0:00:00
9;5;4;El kell végezni a leszerelést;Bartók Béla utca 78;15539;Kiskunfélegyháza;elvégezve;magas;2023. 11. 08. 0:00:00;2023. 11. 22. 0:00:00;leszerelés;19;2023. 11. 22. 0:00:00
10;9;5;El kell végezni a telepítést;Vasút utca 10;3796;Cegléd;elvégezve;közepes;2021. 03. 24. 0:00:00;2021. 04. 07. 0:00:00;telepítés;12;2021. 04. 07. 0:00:00
11;10;6;El kell végezni a telepítést;Iskola utca 62;10037;Szigetszentmiklós;elvégezve;közepes;2022. 09. 18. 0:00:00;2022. 10. 02. 0:00:00;telepítés;16;2022. 10. 02. 0:00:00
12;6;7;El kell végezni a telepítést;Nyár utca 48;17297;Békéscsaba;elvégezve;magas;2023. 08. 24. 0:00:00;2023. 09. 07. 0:00:00;telepítés;20;2023. 09. 07. 0:00:00
13;1;7;El kell végezni a szervizelést;Nyár utca 48;17297;Békéscsaba;elvégezve;közepes;2023. 09. 21. 0:00:00;2023. 10. 05. 0:00:00;szerviz;13;2023. 10. 05. 0:00:00
14;8;7;El kell végezni a szervizelést;Nyár utca 48;17297;Békéscsaba;elvégezve;közepes;2023. 10. 19. 0:00:00;2023. 11. 02. 0:00:00;szerviz;19;2023. 11. 02. 0:00:00
15;6;8;El kell végezni a telepítést;Árpád utca 64;14344;Orosháza;elvégezve;magas;2024. 05. 03. 0:00:00;2024. 05. 17. 0:00:00;telepítés;13;2024. 05. 17. 0:00:00
16;2;8;El kell végezni a leszerelést;Árpád utca 64;14344;Orosháza;elvégezve;alacsony;2024. 05. 31. 0:00:00;2024. 06. 14. 0:00:00;leszerelés;12;2024. 06. 14. 0:00:00
17;3;9;El kell végezni a telepítést;Nyár utca 53;11853;Celldömölk;elvégezve;közepes;2024. 06. 29. 0:00:00;2024. 07. 13. 0:00:00;telepítés;13;2024. 07. 13. 0:00:00
18;8;10;El kell végezni a telepítést;Temető utca 14;2379;Székesfehérvár;elvégezve;alacsony;2024. 01. 01. 0:00:00;2024. 01. 15. 0:00:00;telepítés;15;2024. 01. 15. 0:00:00
19;6;11;El kell végezni a telepítést;Arany János utca 9;8052;Szigetszentmiklós;elvégezve;alacsony;2025. 02. 09. 0:00:00;2025. 02. 23. 0:00:00;telepítés;18;2025. 02. 23. 0:00:00
20;7;12;El kell végezni a telepítést;Táncsics Mihály utca 99;17249;Budakeszi;elvégezve;alacsony;2024. 11. 30. 0:00:00;2024. 12. 14. 0:00:00;telepítés;12;2024. 12. 14. 0:00:00
21;7;12;El kell végezni a szervizelést;Táncsics Mihály utca 99;17249;Budakeszi;elvégezve;közepes;2024. 12. 28. 0:00:00;2025. 01. 11. 0:00:00;szerviz;18;2025. 01. 11. 0:00:00
